0 	0
0.020202 	0.0623869
0.040404 	0.124748
0.0606061 	0.184968
0.0808081 	0.243253
0.10101 	0.30134
0.121212 	0.355694
0.141414 	0.410048
0.161616 	0.46222
0.181818 	0.51278
0.20202 	0.562972
0.222222 	0.609863
0.242424 	0.656755
0.262626 	0.701426
0.282828 	0.744767
0.30303 	0.78759
0.323232 	0.827488
0.343434 	0.867386
0.363636 	0.905028
0.383838 	0.941584
0.40404 	0.97749
0.424242 	1.01079
0.444444 	1.0441
0.464646 	1.0751
0.484848 	1.10524
0.505051 	1.1346
0.525253 	1.16164
0.545455 	1.18869
0.565657 	1.21339
0.585859 	1.23741
0.606061 	1.26053
0.626263 	1.28159
0.646465 	1.30264
0.666667 	1.32129
0.686869 	1.33943
0.707071 	1.35657
0.727273 	1.37184
0.747475 	1.38712
0.767677 	1.39992
0.787879 	1.41236
0.808081 	1.42369
0.828283 	1.43333
0.848485 	1.44298
0.868687 	1.45006
0.888889 	1.45694
0.909091 	1.46257
0.929293 	1.46669
0.949495 	1.47081
0.969697 	1.47225
0.989899 	1.47362
1.0101 	1.47362
1.0303 	1.47225
1.05051 	1.47081
1.07071 	1.46669
1.09091 	1.46257
1.11111 	1.45694
1.13131 	1.45006
1.15152 	1.44298
1.17172 	1.43333
1.19192 	1.42369
1.21212 	1.41236
1.23232 	1.39992
1.25253 	1.38712
1.27273 	1.37184
1.29293 	1.35657
1.31313 	1.33943
1.33333 	1.32129
1.35354 	1.30264
1.37374 	1.28159
1.39394 	1.26053
1.41414 	1.23741
1.43434 	1.21339
1.45455 	1.18869
1.47475 	1.16164
1.49495 	1.1346
1.51515 	1.10524
1.53535 	1.0751
1.55556 	1.0441
1.57576 	1.01079
1.59596 	0.97749
1.61616 	0.941585
1.63636 	0.905029
1.65657 	0.867387
1.67677 	0.827489
1.69697 	0.787591
1.71717 	0.744767
1.73737 	0.701426
1.75758 	0.656755
1.77778 	0.609863
1.79798 	0.562972
1.81818 	0.51278
1.83838 	0.46222
1.85859 	0.410049
1.87879 	0.355695
1.89899 	0.301341
1.91919 	0.243253
1.93939 	0.184968
1.9596 	0.124748
1.9798 	0.0623869
2 	0
